OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_ht,hh_type1_h,hh_type1_t
207297,51,710,6607,64451.70461,21104.39604,1.68,1.95385,0.9694,0.24688,95.26185,4,2,49.13002,28.17458,20.95543
207298,51,710,3200,48720.12615,25550.75674,3.28,1.58831,1.12852,0.60727,75.17241,4,2,43.17792,24.32518,18.85274
207299,51,710,6901,34943.76452,27345.83155,3.09,0.98571,1.42905,0.34848,6.50407,4,2,48.97299,30.54415,18.42884
207300,51,710,5000,56172.35099,17154.95533,2.7,1.52336,0.66963,0.55138,56.41953,4,2,46.59099,28.56334,18.02765
207605,51,710,5500,37434.9563,23224.96891,3.37,1.46578,2.38605,0.66446,55.62914,4,2,42.40957,24.11506,18.29451
207606,51,710,2700,31030.09976,17429.76881,3.47,0.97257,1.10978,0.79433,36.11111,4,2,38.94898,22.25271,16.69627
207607,51,710,7001,64534,31683,3.58,1.69591,1.69591,1,9.69479,4,2,44.06094,26.5124,17.54854
207608,51,710,4400,47712.16464,17209.08349,1.45,1.35199,1.48936,0.58559,18.91892,4,2,45.9321,28.01023,17.92186
207609,51,710,2500,30764.58674,14678.30156,2.69,1.39105,1.08987,0.56082,50.25042,4,2,46.97638,28.77006,18.20632
207610,51,710,2800,71080.66482,20564.32133,2.78,1.29376,1.46614,0.32308,79.46058,4,2,47.23573,27.7675,19.46823
207611,51,710,202,55518.9162,32134.41226,1.95,1.37082,1.31799,0.25893,76.76768,4,2,50.70526,29.26773,21.43753
207612,51,710,6502,93206.20262,34686.74749,2.59,1.46002,1.63025,0.73784,22.06304,4,2,42.49136,24.42895,18.06241
207613,51,710,3700,95934.31901,34596.95004,2.03,1.56367,1.14251,0.57362,20.10444,4,2,44.55184,27.73379,16.81805
207614,51,710,1200,100361.9379,35011.4406,2.11,1.08076,1.29924,0.29245,52.37449,4,2,51.58082,30.44936,21.13146
207615,51,710,5702,42139.34397,31451.88079,4.01,1.0711,1.25241,0.18408,95.02488,4,2,49.03772,27.50369,21.53403
207616,51,710,2700,43394.39977,24374.86059,2.05,1.05912,1.20854,0.28436,76.11336,4,2,46.12701,26.86711,19.2599
208527,51,710,4600,37294.98617,15729.7699,2.97,0.80573,0.7369,0.95413,17.94118,4,2,37.2255,19.62111,17.60439
208528,51,710,700,54015.22637,45162.53021,1.94,1.29181,1.01505,0.48745,51.76056,4,2,46.56045,26.90722,19.65322
208529,51,710,100,105273.4957,53673.21056,2.36,1.14038,1.75448,0.56944,43.3892,4,2,46.74601,26.86039,19.88562
208859,51,710,990000,0,0,0,0,0,0,0,0,0,0,0,0
208860,51,710,5601,66403.80041,45133.95236,4.68,1.46215,1.77793,0.14155,92.23744,4,2,53.6432,31.00442,22.63878
208929,51,710,3501,27201.51786,8791.86664,3.01,0.72472,0.38054,0.93438,0,4,2,34.97612,20.95315,14.02297
208930,51,710,5100,48355.51846,19884.71616,3.6,1.49087,1.30514,0.35294,71.90635,4,2,45.73616,26.39574,19.34043
208931,51,710,1500,105272.8571,47736.24381,1.63,1.4218,1.20156,0.37918,79.44785,4,2,46.4268,26.46613,19.96067
208932,51,710,5601,56647.03203,38502.38133,2.29,1.14677,1.39444,0.34909,82.36915,4,2,49.85801,28.81592,21.04209
208933,51,710,5901,35971.89194,26865.9381,2.73,0.99222,1.0929,0.81176,18.70048,4,2,45.39466,28.15553,17.23913
208934,51,710,2900,40921.31619,17483.35672,2.27,1.37922,0.74806,0.62733,32.64033,4,2,42.21759,25.3025,16.9151
208935,51,710,1600,54501.75145,20728.4507,1.82,2.3571,0.71492,0.81623,20.46908,4,2,40.78704,24.30061,16.48642
208936,51,710,6100,68292.29653,52743.48411,3.53,1.61634,1.51965,0.34384,71.49938,4,2,49.40134,29.06384,20.3375
208937,51,710,3501,46378.26486,14990.02819,3.78,2.32136,1.2189,0.57194,68.98263,4,2,44.46349,25.9806,18.48289
208938,51,710,902,64534,31683,3.38,1.27615,1.27615,1,7.31225,4,2,44.23278,24.63023,19.60256
208939,51,710,3400,41986.77321,22322.45513,3.37,0.93142,0.95592,0.44669,77.57353,4,2,46.73666,27.10002,19.63664
208940,51,710,6100,44039.13858,34012.2931,2.45,1.12294,1.05577,0.57736,47.41848,4,2,47.19483,28.84577,18.34905
208941,51,710,300,84047.13546,37771.7688,1.85,1.25295,1.02286,0.38602,51.5775,4,2,49.20324,28.61075,20.5925
209020,51,710,2900,53802.6063,22986.80115,2.93,1.97515,1.07128,0.38378,51.62455,4,2,44.38004,26.0234,18.35664
209021,51,710,4300,31916.01677,8928.61608,1.19,0.76265,0.49072,0.7093,20.4244,4,2,41.35338,24.84508,16.5083
209022,51,710,6606,65682.50618,34522.72659,3.24,1.45949,1.3914,0.51151,83.37596,4,2,48.61117,28.20519,20.40598
209023,51,710,6502,126176.3244,46956.59924,2.1,1.18902,1.32765,0.33463,62.04268,4,2,52.96654,31.67896,21.28758
209037,51,710,6606,70037.15171,36811.52837,2.38,1.2282,1.1709,0.89179,10.84906,4,2,40.58014,23.82172,16.75842
209039,51,710,2400,126184.1613,26522.79986,2.79,1.11468,1.37562,0.06832,100,4,2,57.4916,35.41733,22.07426
209040,51,710,600,79522.18302,34605.8095,2.72,1.40588,1.48585,0.12188,100,4,2,48.93443,27.06694,21.86749
209041,51,710,6400,54529.02007,21505.75058,2.7,1.75435,1.25701,0.52639,56.41361,4,2,48.40942,29.19859,19.21083
209042,51,710,4400,50250.93289,18124.78025,4.09,1.52101,1.67556,0.33916,89.15663,4,2,46.70416,26.8341,19.87007
209043,51,710,3000,61325.05411,39924.22878,2.8,1.45186,1.44374,0.3141,71.32216,4,2,46.95568,27.19221,19.76347
209044,51,710,300,52621.27212,23648.6171,2.57,1.25245,1.02245,0.73684,26.77485,4,2,45.81681,28.07822,17.73858
209127,51,710,700,67340.76097,56304.10824,3.55,1.51431,1.18987,0.1869,86.63854,4,2,50.73384,28.73796,21.99589
209128,51,710,7002,50781.8146,35849.06589,1.91,1.18787,1.00839,0.16747,86.54434,4,2,51.91892,30.54061,21.37831
209129,51,710,4300,52958.00318,14815.18455,5.1,1.56547,1.00729,0.32963,61.48148,4,2,46.22403,27.72791,18.49612
209130,51,710,6606,112185.7368,58964.82558,2.57,1.31387,1.25257,0.17677,92.63658,4,2,56.87089,34.29757,22.57331
209131,51,710,6501,93119.20116,27255.49623,2.46,1.45776,1.18106,0.72407,23.9726,4,2,42.83362,24.58319,18.25043
209132,51,710,5903,60447.63807,17151.73766,2.42,2.26021,1.04781,0.62188,51.35952,4,2,43.17496,23.67276,19.5022
