Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,SUMMARY,Unnamed: 6,Unnamed: 7,Unnamed: 8
Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Residential Real Estate Value Score,Affordable Housing Score,Personal Income Score
51710005000,Norfolk city,Virginia,2018,35,20,21,4
51710005000,Norfolk city,Virginia,2019,30,21,21,4
51710005000,Norfolk city,Virginia,2020,40,24,17,17
51710005000,Norfolk city,Virginia,2021,32,28,27,61
51710005000,Norfolk city,Virginia,2022,36,25,6,68
51710005000,Norfolk city,Virginia,2023,34,24,22,65
51710002600,Norfolk city,Virginia,2017,40,41,53,1
51710002600,Norfolk city,Virginia,2018,35,22,51,2
51710002600,Norfolk city,Virginia,2019,36,37,39,2
51710002600,Norfolk city,Virginia,2020,28,6,21,17
51710002600,Norfolk city,Virginia,2021,35,10,13,32
51710002600,Norfolk city,Virginia,2022,38,7,10,54
51710002600,Norfolk city,Virginia,2023,34,,8,47
51740212000,Portsmouth city,Virginia,2017,24,4,22,6
51740212000,Portsmouth city,Virginia,2018,28,5,13,13
51740212000,Portsmouth city,Virginia,2019,27,7,7,47
51740212000,Portsmouth city,Virginia,2020,30,5,6,63
51740212000,Portsmouth city,Virginia,2021,32,15,4,67
51740212000,Portsmouth city,Virginia,2022,28,46,6,67
51740212000,Portsmouth city,Virginia,2023,34,19,11,63
51710004800,Norfolk city,Virginia,2017,31,,100,16
51710004800,Norfolk city,Virginia,2018,29,,100,62
51710004800,Norfolk city,Virginia,2019,31,,100,63
51710004800,Norfolk city,Virginia,2020,42,,100,64
51710004800,Norfolk city,Virginia,2021,41,,100,51
51710004800,Norfolk city,Virginia,2022,40,,100,48
51710004800,Norfolk city,Virginia,2023,50,,100,54
51740210500,Portsmouth city,Virginia,2017,37,7,67,1
51740210500,Portsmouth city,Virginia,2018,29,8,67,2
51740210500,Portsmouth city,Virginia,2019,36,5,71,5
51740210500,Portsmouth city,Virginia,2020,40,46,83,65
51740210500,Portsmouth city,Virginia,2021,46,62,63,67
51740210500,Portsmouth city,Virginia,2022,36,60,55,67
51740210500,Portsmouth city,Virginia,2023,41,57,61,67
51740211700,Portsmouth city,Virginia,2017,32,15,13,10
51740211700,Portsmouth city,Virginia,2018,26,14,10,10
51740211700,Portsmouth city,Virginia,2019,33,22,5,9
51740211700,Portsmouth city,Virginia,2020,27,18,2,17
51740211700,Portsmouth city,Virginia,2021,39,18,14,38
51740211700,Portsmouth city,Virginia,2022,42,22,23,61
51740211700,Portsmouth city,Virginia,2023,40,39,55,63
51710003501,Norfolk city,Virginia,2017,36,18,70,70
51710003501,Norfolk city,Virginia,2018,40,21,74,69
51710003501,Norfolk city,Virginia,2019,43,13,64,61
51710003501,Norfolk city,Virginia,2020,36,6,67,30
51710003501,Norfolk city,Virginia,2021,42,31,83,27
51710003501,Norfolk city,Virginia,2022,34,24,70,23
51710003501,Norfolk city,Virginia,2023,42,,41,40
51710006901,Norfolk city,Virginia,2017,47,13,15,65
51710006901,Norfolk city,Virginia,2018,48,14,25,69
51710006901,Norfolk city,Virginia,2019,49,23,33,70
51710006901,Norfolk city,Virginia,2020,55,44,43,65
51710006901,Norfolk city,Virginia,2021,48,38,39,49
51710006901,Norfolk city,Virginia,2022,48,41,60,29
51710006901,Norfolk city,Virginia,2023,43,28,54,19
51710004200,Norfolk city,Virginia,2017,32,1,100,66
51710004200,Norfolk city,Virginia,2018,29,1,100,67
51710004200,Norfolk city,Virginia,2019,33,1,100,66
51710004200,Norfolk city,Virginia,2020,42,,100,65
51710004200,Norfolk city,Virginia,2021,44,,100,51
51710004200,Norfolk city,Virginia,2022,38,,100,4
51710004200,Norfolk city,Virginia,2023,28,,100,1
51740211800,Portsmouth city,Virginia,2017,34,12,99,61
51740211800,Portsmouth city,Virginia,2018,36,12,98,67
51740211800,Portsmouth city,Virginia,2019,28,8,86,66
51740211800,Portsmouth city,Virginia,2020,36,13,72,60
51740211800,Portsmouth city,Virginia,2021,24,14,58,16
51740211800,Portsmouth city,Virginia,2022,22,30,51,11
51740211800,Portsmouth city,Virginia,2023,32,37,48,23
51710003800,Norfolk city,Virginia,2017,54,53,82,87
51710003800,Norfolk city,Virginia,2018,53,56,78,87
51710003800,Norfolk city,Virginia,2019,56,54,84,89
51710003800,Norfolk city,Virginia,2020,52,47,86,84
